Identyfikatory i nazwy jednostek podzia≥u terytorialnego kraju;;;;
obowiπzujπce od 1 stycznia 2011 r.;;;;
(stan na dzieÒ: 1 stycznia 2021 r.);;;;
;;;;
"èrÛd≥o: Za≥πcznik nr 1 do rozporzπdzenia Rady MinistrÛw z dn. 15 grudnia 1998 r.
w sprawie szczegÛ≥owych zasad prowadzenia, stosowania i udostÍpniania krajowego rejestru urzÍdowego podzia≥u terytorialnego kraju oraz zwiπzanych z tym obowiπzkÛw organÛw administracji rzπdowej i jednostek samorzπdu terytorialnego
(Dz. U. Nr 157, poz. 1031 z pÛün. zm.)";;;;
;;;;
Nazwa jednostki;Identyfikator;;;
WOJEW”DZTWO DOLNOåL•SKIE;;;;
Powiat boles≥awiecki;;;;
Gmina miejska:;;;;
Boles≥awiec;020101 1;;;
Gminy:;;;;
Boles≥awiec;020102 2;;;
Gromadka;020103 2;;;
Nowogrodziec;020104 3;;;
Nowogrodziec ñ miasto;020104 4;;;
Nowogrodziec ñ obszar wiejski;020104 5;;;
Osiecznica;020105 2;;;
Warta Boles≥awiecka;020106 2;;;
Powiat dzierøoniowski;;;;
Gminy miejskie:;;;;
Bielawa;020201 1;;;
DzierøoniÛw;020202 1;;;
Pieszyce;020203 1;kod wygas≥ 31.12.2015;;
Pi≥awa GÛrna;020204 1;;;
Gminy:;;;;
DzierøoniÛw;020205 2;;;
£agiewniki;020206 2;;;
Niemcza;020207 3;;;
Niemcza ñ miasto;020207 4;;;
Niemcza ñ obszar wiejski;020207 5;;;
Pieszyce;020203 3;obowiπzuje od 01.01.2016;;
Pieszyce ñ miasto;020203 4;obowiπzuje od 01.01.2016;;
Pieszyce ñ obszar wiejski;020203 5;obowiπzuje od 01.01.2016;;
Powiat g≥ogowski;;;;
Gmina miejska:;;;;
G≥ogÛw;020301 1;;;
Gminy:;;;;
G≥ogÛw;020302 2;;;
Jerzmanowa;020303 2;;;
Kotla;020304 2;;;
PÍc≥aw;020305 2;;;
Øukowice;020306 2;;;
Powiat gÛrowski;;;;
Gminy:;;;;
GÛra;020401 3;;;
GÛra ñ miasto;020401 4;;;
GÛra ñ obszar wiejski;020401 5;;;
Jemielno;020402 2;;;
NiechlÛw;020403 2;;;
Wπsosz;020404 3;;;
Wπsosz ñ miasto;020404 4;;;
Wπsosz ñ obszar wiejski;020404 5;;;
Powiat jaworski;;;;
Gmina miejska:;;;;
Jawor;020501 1;;;
Gminy:;;;;
BolkÛw;020502 3;;;
BolkÛw ñ miasto;020502 4;;;
BolkÛw ñ obszar wiejski;020502 5;;;
MÍcinka;020503 2;;;
MúciwojÛw;020504 2;;;
Paszowice;020505 2;;;
Wπdroøe Wielkie;020506 2;;;
Powiat karkonoski;;do 31.12.2020 powiat jeleniogÛrski;;
Gminy miejskie:;;;;
Karpacz;020601 1;;;
Kowary;020602 1;;;
Piechowice;020603 1;;;
Szklarska PorÍba;020604 1;;;
Gminy:;;;;
Janowice Wielkie;020605 2;;;
JeøÛw Sudecki;020606 2;;;
Mys≥akowice;020607 2;;;
PodgÛrzyn;020608 2;;;
Stara Kamienica;020609 2;;;
Powiat kamiennogÛrski;;;;
Gmina miejska:;;;;
Kamienna GÛra;020701 1;;;
Gminy:;;;;
Kamienna GÛra;020702 2;;;
Lubawka;020703 3;;;
Lubawka ñ miasto;020703 4;;;
Lubawka ñ obszar wiejski;020703 5;;;
MarciszÛw;020704 2;;;
Powiat k≥odzki;;;;
Gminy miejskie:;;;;
Duszniki-ZdrÛj;020801 1;;;
K≥odzko;020802 1;;;
Kudowa-ZdrÛj;020803 1;;;
Nowa Ruda;020804 1;;;
Polanica-ZdrÛj;020805 1;;;
Gminy:;;;;
Bystrzyca K≥odzka;020806 3;;;
Bystrzyca K≥odzka ñ miasto;020806 4;;;
Bystrzyca K≥odzka ñ obszar wiejski;020806 5;;;
K≥odzko;020807 2;;;
Lπdek-ZdrÛj;020808 3;;;
Lπdek-ZdrÛj ñ miasto;020808 4;;;
Lπdek-ZdrÛj ñ obszar wiejski;020808 5;;;
Lewin K≥odzki;020809 2;;;
MiÍdzylesie;020810 3;;;
MiÍdzylesie ñ miasto;020810 4;;;
MiÍdzylesie ñ obszar wiejski;020810 5;;;
Nowa Ruda;020811 2;;;
RadkÛw;020812 3;;;
RadkÛw ñ miasto;020812 4;;;
RadkÛw ñ obszar wiejski;020812 5;;;
Stronie ålπskie;020813 3;;;
Stronie ålπskie ñ miasto;020813 4;;;
Stronie ålπskie ñ obszar wiejski;020813 5;;;
Szczytna;020814 3;;;
Szczytna ñ miasto;020814 4;;;
Szczytna ñ obszar wiejski;020814 5;;;
Powiat legnicki;;;;
Gmina miejska:;;;;
ChojnÛw;020901 1;;;
Gminy:;;;;
ChojnÛw;020902 2;;;
Krotoszyce;020903 2;;;
Kunice;020904 2;;;
Legnickie Pole;020905 2;;;
Mi≥kowice;020906 2;;;
Prochowice;020907 3;;;
Prochowice ñ miasto;020907 4;;;
Prochowice ñ obszar wiejski;020907 5;;;
Ruja;020908 2;;;
Powiat lubaÒski;;;;
Gminy miejskie:;;;;
LubaÒ;021001 1;;;
åwieradÛw-ZdrÛj;021002 1;;;
Gminy:;;;;
Leúna;021003 3;;;
Leúna ñ miasto;021003 4;;;
Leúna ñ obszar wiejski;021003 5;;;
LubaÒ;021004 2;;;
Olszyna;021005 3;;;
Olszyna ñ miasto;021005 4;;;
Olszyna ñ obszar wiejski;021005 5;;;
PlaterÛwka;021006 2;;;
Siekierczyn;021007 2;;;
Powiat lubiÒski;;;;
Gmina miejska:;;;;
Lubin;021101 1;;;
Gminy:;;;;
Lubin;021102 2;;;
Rudna;021103 2;;;
åcinawa;021104 3;;;
åcinawa ñ miasto;021104 4;;;
åcinawa ñ obszar wiejski;021104 5;;;
Powiat lwÛwecki;;;;
Gminy:;;;;
GryfÛw ålπski;021201 3;;;
GryfÛw ålπski ñ miasto;021201 4;;;
GryfÛw ålπski ñ obszar wiejski;021201 5;;;
Lubomierz;021202 3;;;
Lubomierz ñ miasto;021202 4;;;
Lubomierz ñ obszar wiejski;021202 5;;;
LwÛwek ålπski;021203 3;;;
LwÛwek ålπski ñ miasto;021203 4;;;
LwÛwek ålπski ñ obszar wiejski;021203 5;;;
Mirsk;021204 3;;;
Mirsk ñ miasto;021204 4;;;
Mirsk ñ obszar wiejski;021204 5;;;
WleÒ;021205 3;;;
WleÒ ñ miasto;021205 4;;;
WleÒ ñ obszar wiejski;021205 5;;;
Powiat milicki;;;;
Gminy:;;;;
CieszkÛw;021301 2;;;
Kroúnice;021302 2;;;
Milicz;021303 3;;;
Milicz ñ miasto;021303 4;;;
Milicz ñ obszar wiejski;021303 5;;;
Powiat oleúnicki;;;;
Gmina miejska:;;;;
Oleúnica;021401 1;;;
Gminy:;;;;
BierutÛw;021402 3;;;
BierutÛw ñ miasto;021402 4;;;
BierutÛw ñ obszar wiejski;021402 5;;;
Dobroszyce;021403 2;;;
Dziadowa K≥oda;021404 2;;;
MiÍdzybÛrz;021405 3;;;
MiÍdzybÛrz ñ miasto;021405 4;;;
MiÍdzybÛrz ñ obszar wiejski;021405 5;;;
Oleúnica;021406 2;;;
SycÛw;021407 3;;;
SycÛw ñ miasto;021407 4;;;
SycÛw ñ obszar wiejski;021407 5;;;
TwardogÛra;021408 3;;;
TwardogÛra ñ miasto;021408 4;;;
TwardogÛra ñ obszar wiejski;021408 5;;;
Powiat o≥awski;;;;
Gmina miejska:;;;;
O≥awa;021501 1;;;
Gminy:;;;;
DomaniÛw;021502 2;;;
Jelcz-Laskowice;021503 3;;;
Jelcz-Laskowice ñ miasto;021503 4;;;
Jelcz-Laskowice ñ obszar wiejski;021503 5;;;
O≥awa;021504 2;;;
Powiat polkowicki;;;;
Gminy:;;;;
ChocianÛw;021601 3;;;
ChocianÛw ñ miasto;021601 4;;;
ChocianÛw ñ obszar wiejski;021601 5;;;
Gaworzyce;021602 2;;;
GrÍbocice;021603 2;;;
Polkowice;021604 3;;;
Polkowice ñ miasto;021604 4;;;
Polkowice ñ obszar wiejski;021604 5;;;
PrzemkÛw;021605 3;;;
PrzemkÛw ñ miasto;021605 4;;;
PrzemkÛw ñ obszar wiejski;021605 5;;;
Radwanice;021606 2;;;
Powiat strzeliÒski;;;;
Gminy:;;;;
BorÛw;021701 2;;;
Kondratowice;021702 2;;;
Przeworno;021703 2;;;
Strzelin;021704 3;;;
Strzelin ñ miasto;021704 4;;;
Strzelin ñ obszar wiejski;021704 5;;;
WiπzÛw;021705 3;;;
WiπzÛw ñ miasto;021705 4;;;
WiπzÛw ñ obszar wiejski;021705 5;;;
Powiat úredzki;;;;
Gminy:;;;;
Kostom≥oty;021801 2;;;
Malczyce;021802 2;;;
MiÍkinia;021803 2;;;
åroda ålπska;021804 3;;;
åroda ålπska ñ miasto;021804 4;;;
åroda ålπska ñ obszar wiejski;021804 5;;;
Udanin;021805 2;;;
Powiat úwidnicki;;;;
Gminy miejskie:;;;;
åwidnica;021901 1;;;
åwiebodzice;021902 1;;;
Gminy:;;;;
Dobromierz;021903 2;;;
Jaworzyna ålπska;021904 3;;;
Jaworzyna ålπska ñ miasto;021904 4;;;
Jaworzyna ålπska ñ obszar wiejski;021904 5;;;
Marcinowice;021905 2;;;
Strzegom;021906 3;;;
Strzegom ñ miasto;021906 4;;;
Strzegom ñ obszar wiejski;021906 5;;;
åwidnica;021907 2;;;
ØarÛw;021908 3;;;
ØarÛw ñ miasto;021908 4;;;
ØarÛw ñ obszar wiejski;021908 5;;;
Powiat trzebnicki;;;;
Gminy:;;;;
Oborniki ålπskie;022001 3;;;
Oborniki ålπskie ñ miasto;022001 4;;;
Oborniki ålπskie ñ obszar wiejski;022001 5;;;
Prusice;022002 3;;;
Prusice ñ miasto;022002 4;;;
Prusice ñ obszar wiejski;022002 5;;;
Trzebnica;022003 3;;;
Trzebnica ñ miasto;022003 4;;;
Trzebnica ñ obszar wiejski;022003 5;;;
Wisznia Ma≥a;022004 2;;;
Zawonia;022005 2;;;
ØmigrÛd;022006 3;;;
ØmigrÛd ñ miasto;022006 4;;;
ØmigrÛd ñ obszar wiejski;022006 5;;;
Powiat wa≥brzyski;;;;
Gminy miejskie:;;;;
BoguszÛw-Gorce;022101 1;;;
Jedlina-ZdrÛj;022102 1;;;
Szczawno-ZdrÛj;022103 1;;;
Wa≥brzych;022109 1;kod wygas≥ 31.12.2012;;
Gminy:;;;;
Czarny BÛr;022104 2;;;
G≥uszyca;022105 3;;;
G≥uszyca ñ miasto;022105 4;;;
G≥uszyca ñ obszar wiejski;022105 5;;;
MieroszÛw;022106 3;;;
MieroszÛw ñ miasto;022106 4;;;
MieroszÛw ñ obszar wiejski;022106 5;;;
Stare Bogaczowice;022107 2;;;
Walim;022108 2;;;
Powiat wo≥owski;;;;
Gminy:;;;;
Brzeg Dolny;022201 3;;;
Brzeg Dolny ñ miasto;022201 4;;;
Brzeg Dolny ñ obszar wiejski;022201 5;;;
WiÒsko;022202 2;;;
Wo≥Ûw;022203 3;;;
Wo≥Ûw ñ miasto;022203 4;;;
Wo≥Ûw ñ obszar wiejski;022203 5;;;
Powiat wroc≥awski;;;;
Gminy:;;;;
Czernica;022301 2;;;
D≥ugo≥Íka;022302 2;;;
JordanÛw ålπski;022303 2;;;
Kπty Wroc≥awskie;022304 3;;;
Kπty Wroc≥awskie ñ miasto;022304 4;;;
Kπty Wroc≥awskie ñ obszar wiejski;022304 5;;;
Kobierzyce;022305 2;;;
MietkÛw;022306 2;;;
Siechnice;022308 3;;;
Siechnice ñ miasto;022308 4;;;
Siechnice ñ obszar wiejski;022308 5;;;
SobÛtka;022307 3;;;
SobÛtka ñ miasto;022307 4;;;
SobÛtka ñ obszar wiejski;022307 5;;;
ØÛrawina;022309 2;;;
Powiat zπbkowicki;;;;
Gminy:;;;;
Bardo;022401 3;;;
Bardo ñ miasto;022401 4;;;
Bardo ñ obszar wiejski;022401 5;;;
Ciep≥owody;022402 2;;;
Kamieniec Zπbkowicki;022403 2;kod wygas≥ 31.12.2020;;
Kamieniec Zπbkowicki;022403 3;obowiπzuje od 01.01.2021;;
Kamieniec Zπbkowicki ñ miasto;022403 4;obowiπzuje od 01.01.2021;;
Kamieniec Zπbkowicki ñ obszar wiejski;022403 5;obowiπzuje od 01.01.2021;;
Stoszowice;022404 2;;;
Zπbkowice ålπskie;022405 3;;;
Zπbkowice ålπskie ñ miasto;022405 4;;;
Zπbkowice ålπskie ñ obszar wiejski;022405 5;;;
ZiÍbice;022406 3;;;
ZiÍbice ñ miasto;022406 4;;;
ZiÍbice ñ obszar wiejski;022406 5;;;
Z≥oty Stok;022407 3;;;
Z≥oty Stok ñ miasto;022407 4;;;
Z≥oty Stok ñ obszar wiejski;022407 5;;;
Powiat zgorzelecki;;;;
Gminy miejskie:;;;;
ZawidÛw;022501 1;;;
Zgorzelec;022502 1;;;
Gminy:;;;;
Bogatynia;022503 3;;;
Bogatynia ñ miasto;022503 4;;;
Bogatynia ñ obszar wiejski;022503 5;;;
PieÒsk;022504 3;;;
PieÒsk ñ miasto;022504 4;;;
PieÒsk ñ obszar wiejski;022504 5;;;
SulikÛw;022505 2;;;
WÍgliniec;022506 3;;;
WÍgliniec ñ miasto;022506 4;;;
WÍgliniec ñ obszar wiejski;022506 5;;;
Zgorzelec;022507 2;;;
Powiat z≥otoryjski;;;;
Gminy miejskie:;;;;
WojcieszÛw;022601 1;;;
Z≥otoryja;022602 1;;;
Gminy:;;;;
Pielgrzymka;022603 2;;;
åwierzawa;022604 3;;;
åwierzawa ñ miasto;022604 4;;;
åwierzawa ñ obszar wiejski;022604 5;;;
Zagrodno;022605 2;;;
Z≥otoryja;022606 2;;;
Miasta na prawach powiatu:;;;;
Powiat m. Jelenia GÛra;;;;
M. Jelenia GÛra;026101 1;;;
Powiat m. Legnica;;;;
M. Legnica;026201 1;;;
Powiat m. Wa≥brzych;;;;
M. Wa≥brzych;026501 1;obowiπzuje od 01.01.2013;;
Powiat m. Wroc≥aw ;;;;
M. Wroc≥aw;026401 1;;;
Delegatury:;;;;
Wroc≥aw-Fabryczna;026402 9;;;
Wroc≥aw-Krzyki;026403 9;;;
Wroc≥aw-Psie Pole;026404 9;;;
Wroc≥aw-Stare Miasto;026405 9;;;
Wroc≥aw-årÛdmieúcie;026406 9;;;
WOJEW”DZTWO KUJAWSKO-POMORSKIE;;;;
Powiat aleksandrowski;;;;
Gminy miejskie:;;;;
AleksandrÛw Kujawski;040101 1;;;
Ciechocinek;040102 1;;;
Nieszawa;040103 1;;;
Gminy:;;;;
AleksandrÛw Kujawski;040104 2;;;
Bπdkowo;040105 2;;;
Koneck;040106 2;;;
Raciπøek;040107 2;;;
Waganiec;040108 2;;;
Zakrzewo;040109 2;;;
Powiat brodnicki;;;;
Gmina miejska:;;;;
Brodnica;040201 1;;;
Gminy:;;;;
Bartniczka;040206 2;;;
Bobrowo;040202 2;;;
Brodnica;040203 2;;;
Brzozie;040204 2;;;
GÛrzno;040205 3;;;
GÛrzno ñ miasto;040205 4;;;
GÛrzno ñ obszar wiejski;040205 5;;;
Jab≥onowo Pomorskie;040207 3;;;
Jab≥onowo Pomorskie ñ miasto;040207 4;;;
Jab≥onowo Pomorskie ñ obszar wiejski;040207 5;;;
Osiek;040208 2;;;
åwiedziebnia;040209 2;;;
Zbiczno;040210 2;;;
Powiat bydgoski;;;;
Gminy:;;;;
Bia≥e B≥ota;040301 2;;;
Dπbrowa Che≥miÒska;040302 2;;;
Dobrcz;040303 2;;;
Koronowo;040304 3;;;
Koronowo ñ miasto;040304 4;;;
Koronowo ñ obszar wiejski;040304 5;;;
Nowa Wieú Wielka;040305 2;;;
Osielsko;040306 2;;;
Sicienko;040307 2;;;
Solec Kujawski;040308 3;;;
Solec Kujawski ñ miasto;040308 4;;;
Solec Kujawski ñ obszar wiejski;040308 5;;;
Powiat che≥miÒski;;;;
Gmina miejska:;;;;
Che≥mno;040401 1;;;
Gminy:;;;;
Che≥mno;040402 2;;;
Kijewo KrÛlewskie;040403 2;;;
Lisewo;040404 2;;;
Papowo Biskupie;040405 2;;;
Stolno;040406 2;;;
Unis≥aw;040407 2;;;
Powiat golubsko-dobrzyÒski;;;;
Gmina miejska:;;;;
Golub-DobrzyÒ;040501 1;;;
Gminy:;;;;
Ciechocin;040502 2;;;
Golub-DobrzyÒ;040503 2;;;
Kowalewo Pomorskie;040504 3;;;
Kowalewo Pomorskie ñ miasto;040504 4;;;
Kowalewo Pomorskie ñ obszar wiejski;040504 5;;;
Radomin;040505 2;;;
ZbÛjno;040506 2;;;
Powiat grudziπdzki;;;;
Gminy:;;;;
Grudziπdz;040601 2;;;
Gruta;040602 2;;;
£asin;040603 3;;;
£asin ñ miasto;040603 4;;;
£asin ñ obszar wiejski;040603 5;;;
RadzyÒ Che≥miÒski;040604 3;;;
RadzyÒ Che≥miÒski ñ miasto;040604 4;;;
RadzyÒ Che≥miÒski ñ obszar wiejski;040604 5;;;
RogÛüno;040605 2;;;
åwiecie nad Osπ;040606 2;;;
Powiat inowroc≥awski;;;;
Gmina miejska:;;;;
Inowroc≥aw;040701 1;;;
Gminy:;;;;
Dπbrowa Biskupia;040702 2;;;
Gniewkowo;040703 3;;;
Gniewkowo ñ miasto;040703 4;;;
Gniewkowo ñ obszar wiejski;040703 5;;;
Inowroc≥aw;040704 2;;;
Janikowo;040705 3;;;
Janikowo ñ miasto;040705 4;;;
Janikowo ñ obszar wiejski;040705 5;;;
Kruszwica;040706 3;;;
Kruszwica ñ miasto;040706 4;;;
Kruszwica ñ obszar wiejski;040706 5;;;
PakoúÊ;040707 3;;;
PakoúÊ ñ miasto;040707 4;;;
PakoúÊ ñ obszar wiejski;040707 5;;;
Rojewo;040708 2;;;
Z≥otniki Kujawskie;040709 2;;;
Powiat lipnowski;;;;
Gmina miejska:;;;;
Lipno;040801 1;;;
Gminy:;;;;
Bobrowniki;040802 2;;;
Chrostkowo;040803 2;;;
DobrzyÒ nad Wis≥π;040804 3;;;
DobrzyÒ nad Wis≥π ñ miasto;040804 4;;;
DobrzyÒ nad Wis≥π ñ obszar wiejski;040804 5;;;
KikÛ≥;040805 2;;;
Lipno;040806 2;;;
SkÍpe;040807 3;;;
SkÍpe ñ miasto;040807 4;;;
SkÍpe ñ obszar wiejski;040807 5;;;
T≥uchowo;040808 2;;;
Wielgie;040809 2;;;
Powiat mogileÒski;;;;
Gminy:;;;;
Dπbrowa;040901 2;;;
Jeziora Wielkie;040902 2;;;
Mogilno;040903 3;;;
Mogilno ñ miasto;040903 4;;;
Mogilno ñ obszar wiejski;040903 5;;;
Strzelno;040904 3;;;
Strzelno ñ miasto;040904 4;;;
Strzelno ñ obszar wiejski;040904 5;;;
Powiat nakielski;;;;
Gminy:;;;;
Kcynia;041001 3;;;
Kcynia ñ miasto;041001 4;;;
Kcynia ñ obszar wiejski;041001 5;;;
Mrocza;041002 3;;;
Mrocza ñ miasto;041002 4;;;
Mrocza ñ obszar wiejski;041002 5;;;
Nak≥o nad Noteciπ;041003 3;;;
Nak≥o nad Noteciπ ñ miasto;041003 4;;;
Nak≥o nad Noteciπ ñ obszar wiejski;041003 5;;;
Sadki;041004 2;;;
Szubin;041005 3;;;
Szubin ñ miasto;041005 4;;;
Szubin ñ obszar wiejski;041005 5;;;
Powiat radziejowski;;;;
Gmina miejska:;;;;
RadziejÛw;041101 1;;;
Gminy:;;;;
BytoÒ;041102 2;;;
Dobre;041103 2;;;
OsiÍciny;041104 2;;;
PiotrkÛw Kujawski;041105 3;;;
PiotrkÛw Kujawski ñ miasto;041105 4;;;
PiotrkÛw Kujawski ñ obszar wiejski;041105 5;;;
RadziejÛw;041106 2;;;
TopÛlka;041107 2;;;
Powiat rypiÒski;;;;
Gmina miejska:;;;;
Rypin;041201 1;;;
Gminy:;;;;
Brzuze;041202 2;;;
Rogowo;041203 2;;;
Rypin;041204 2;;;
Skrwilno;041205 2;;;
Wπpielsk;041206 2;;;
Powiat sÍpoleÒski;;;;
Gminy:;;;;
KamieÒ KrajeÒski;041301 3;;;
KamieÒ KrajeÒski ñ miasto;041301 4;;;
KamieÒ KrajeÒski ñ obszar wiejski;041301 5;;;
SÍpÛlno KrajeÒskie;041302 3;;;
SÍpÛlno KrajeÒskie ñ miasto;041302 4;;;
SÍpÛlno KrajeÒskie ñ obszar wiejski;041302 5;;;
Soúno;041303 2;;;
WiÍcbork;041304 3;;;
WiÍcbork ñ miasto;041304 4;;;
WiÍcbork ñ obszar wiejski;041304 5;;;
Powiat úwiecki;;;;
Gminy:;;;;
Bukowiec;041401 2;;;
Dragacz;041402 2;;;
Drzycim;041403 2;;;
Jeøewo;041404 2;;;
Lniano;041405 2;;;
Nowe;041406 3;;;
Nowe ñ miasto;041406 4;;;
Nowe ñ obszar wiejski;041406 5;;;
Osie;041407 2;;;
Pruszcz;041408 2;;;
åwiecie;041409 3;;;
åwiecie ñ miasto;041409 4;;;
åwiecie ñ obszar wiejski;041409 5;;;
åwiekatowo;041410 2;;;
Warlubie;041411 2;;;
Powiat toruÒski;;;;
Gmina miejska:;;;;
Che≥møa;041501 1;;;
Gminy:;;;;
Che≥møa;041502 2;;;
Czernikowo;041503 2;;;
Lubicz;041504 2;;;
£ubianka;041505 2;;;
£ysomice;041506 2;;;
Obrowo;041507 2;;;
Wielka Nieszawka;041508 2;;;
